Trial	Subject	Color	Stimulus	Start Time [ms]	End Time [ms]	Blink Start [ms]	Blink Duration [ms]	Blink End [ms]	Eye L/R	Number	
Trial022	2.3	DarkCyan	ran14_2_b.png	0	34218	33880	274	34154	Left	6	
Trial022	6.3	DarkSlateBlue	ran14_2_b.png	0	15744	0	204	204	Left	1	
Trial022	6.3	DarkSlateBlue	ran14_2_b.png	0	15744	698	82	780	Left	2	
Trial022	6.3	DarkSlateBlue	ran14_2_b.png	0	15744	780	12868	13649	Left	3	
Trial022	1.3	Crimson	ran9_2_b.png	0	3991	782	213	996	Left	1	
Trial022	1.3	Crimson	ran9_2_b.png	0	3991	2332	150	2482	Left	2	
Trial022	1.3	Crimson	ran9_2_b.png	0	3991	3045	372	3417	Left	3	
Trial022	4.3	DarkOliveGreen	ran9_2_b.png	0	14655	0	9	9	Left	1	
Trial022	4.3	DarkOliveGreen	ran9_2_b.png	0	14655	6442	132	6574	Left	2	
Trial022	4.3	DarkOliveGreen	ran9_2_b.png	0	14655	8148	639	8788	Left	3	
Trial022	4.3	DarkOliveGreen	ran9_2_b.png	0	14655	11732	268	12000	Left	4	
Trial022	4.3	DarkOliveGreen	ran9_2_b.png	0	14655	13217	242	13459	Left	5	
Trial026	4.1	DarkKhaki	mix14_in_b.png	0	9656	28	327	356	Left	1	
Trial026	4.1	DarkKhaki	mix14_in_b.png	0	9656	1150	666	1817	Left	2	
Trial026	4.1	DarkKhaki	mix14_in_b.png	0	9656	2287	652	2940	Left	3	
Trial026	4.1	DarkKhaki	mix14_in_b.png	0	9656	7519	212	7731	Left	4	
Trial026	4.1	DarkKhaki	mix14_in_b.png	0	9656	7953	724	8678	Left	5	
